User ID,Best Rating,Contests Participated,Problems Solved,Average Problem Rating,Best Rank,Average Rank best 50,Average Rank ,Current Job Status,Engagement (Contests per Month),Average Submissions per Day,Acceptance Ratio,solved_800_1100,solved_1200_1400,solved_1500_1800,solved_1900_2100,solved_2100_plus,greedy,math,implementation,constructive algorithms,brute force,dp,data structures,sortings,binary search,strings,number theory,dfs and similar,graphs,two pointers,trees,bitmasks,combinatorics,shortest paths,dsu,games,hashing,divide and conquer,interactive,geometry,*special,probabilities,flows,ternary search,string suffix structures,expression parsing,Other
forthright48,2133,30,523,1364.627151,24,381.0333333,381.0333333,3,0.759484769,0.25743321,0.479367867,95,89,138,86,35,100,113,187,47,95,103,43,61,43,33,27,30,22,22,16,15,21,6,10,9,6,5,0,17,6,17,3,2,5,1,14
Alfeh,2354,271,4561,1524.753344,28,252.62,652.86,3,4.779756097,4.549205193,0.506040131,1389,676,882,641,588,1713,1526,1405,914,877,837,698,584,501,377,391,392,383,309,262,270,244,104,150,105,77,90,70,90,6,52,30,26,19,10,102
upobir,2643,87,1095,1327.214612,8,194.56,368.5,3,1.498334586,1.015823298,0.519817768,112,77,235,104,228,285,232,180,151,119,221,131,93,97,54,69,66,98,63,66,51,51,23,37,22,12,17,18,36,3,24,11,7,3,1,35
Iftekhar_Hakim_K,2304,127,2400,1284.833333,13,394.48,729.92,3,1.884282704,2.43384832,0.430881586,693,342,468,277,229,751,711,674,393,384,394,314,293,235,199,171,157,148,141,128,101,138,55,61,37,33,36,25,59,11,27,13,14,21,2,43
kicchu_fari_na,1699,42,147,1151.70068,120,2849.380952,2849.380952,1,0.944520361,0.247139093,0.447058824,79,35,24,4,2,69,61,43,33,34,20,16,22,14,18,14,5,5,10,5,12,5,0,3,1,3,0,1,2,0,1,1,0,0,0,1
Riddho,1873,49,375,1160.533333,189,1213.755102,1213.755102,2,0.987281199,0.405958082,0.452718676,114,66,88,26,15,73,77,145,35,57,42,46,29,27,27,18,22,25,10,17,10,8,5,6,3,0,2,1,10,2,5,1,0,1,0,4
itry,1975,46,159,1488.050314,37,1655.23913,1655.23913,2,1.068921558,0.356701986,0.362850972,60,30,46,12,11,73,44,55,31,31,33,22,17,19,17,11,12,16,11,14,9,5,4,2,0,3,1,4,2,0,1,4,0,1,0,4
Sanjoy__Kumar,1697,111,953,1138.824764,464,2476.46,2957.26,2,2.137612839,1.13045414,0.498238551,568,177,135,32,12,395,422,340,204,205,105,69,146,80,105,98,29,28,47,12,43,24,13,8,25,12,3,7,27,17,2,4,2,1,1,9
iamSadee,1709,209,1144,1308.304196,103,863.08,2551.54,2,4.375563374,0.867996019,0.498745819,451,316,288,54,15,419,392,456,178,212,147,109,156,86,113,88,50,47,65,35,34,26,12,22,18,9,8,2,19,1,2,2,4,4,0,12
Fullmetal_Algorithmist,1907,39,443,1673.814898,22,1207.128205,1207.128205,2,1.566396117,0.559375229,0.491902834,73,70,112,84,66,98,98,110,51,83,109,93,37,54,33,37,53,49,31,41,11,21,14,19,7,7,8,0,13,4,7,0,5,4,0,10
rokibulhasan114,1695,84,274,1115.328467,872,3503.52,3951.24,1,6.667217859,0.515685456,0.377135348,172,53,31,10,0,100,112,96,47,60,20,12,40,16,26,13,5,6,12,3,8,6,3,3,5,1,0,0,4,4,0,1,3,0,0,3
Samiul2651,1695,113,1024,1339.257813,694,2494.66,2934.44,2,2.195595855,1.584172566,0.372672989,386,210,273,120,6,470,435,295,262,234,169,158,149,139,100,107,74,57,84,54,65,46,23,28,42,21,12,16,20,2,7,2,7,5,1,11
inzamam_inz,1768,123,1130,1379.115044,177,1393.2,2729.06,2,2.269372694,1.08341603,0.554084893,473,208,330,79,19,455,438,373,252,218,172,142,161,115,110,113,83,67,81,47,34,30,19,21,25,14,9,20,24,9,8,7,5,4,1,18
Kitorp,1833,70,565,1173.80531,70,715.78,861.14,2,1.712882588,0.316921722,0.499125874,278,145,104,20,2,135,140,327,73,110,57,32,67,27,55,33,28,23,9,13,7,16,6,11,6,6,3,1,12,6,5,0,0,1,2,7
Kifayat,1729,31,111,1245.045045,147,1109.451613,1109.451613,2,0.95900662,0.071564105,0.387543253,39,28,32,2,3,29,35,51,15,24,9,5,13,6,8,7,6,7,2,1,3,4,1,2,1,2,0,0,3,1,0,0,1,0,0,2
zafar_sust_bd,1711,59,164,1190.853659,0,265.82,332.06,2,1.20886157,0.074050676,0.456756757,92,45,23,3,1,35,30,101,9,24,6,3,16,4,23,10,9,7,6,3,0,2,2,4,3,2,0,0,2,5,0,0,0,0,2,1
NH_Apu,1792,116,515,1322.330097,233,700.38,1174.1,2,3.349094591,0.63983641,0.376404494,186,117,156,29,6,128,138,249,76,96,73,40,48,50,46,41,39,32,14,24,7,8,6,10,7,5,3,2,14,0,7,1,1,1,1,5
anis028,1771,75,405,1397.777778,196,1042.26,1363.92,2,2.23006876,0.479346428,0.414732593,114,101,118,36,25,111,95,166,55,72,56,36,53,34,32,28,34,34,20,29,13,15,6,18,8,3,2,6,7,0,2,2,1,0,2,8
ab_rar,1717,43,1065,1622.441315,56,3273.465116,3273.465116,1,1.124683274,1.722899946,0.414861837,194,101,491,263,7,403,366,302,246,186,226,158,135,130,69,112,108,115,78,74,64,79,27,32,29,21,11,13,31,2,8,4,10,4,3,22
I_See_You,1939,71,1407,1692.181947,79,694.38,848.3,3,1.234186383,1.259796702,0.567782565,470,291,349,141,73,294,348,649,158,256,170,156,143,109,154,103,95,78,44,49,36,54,17,36,18,30,13,4,32,33,14,1,6,15,6,20
rafi_kamal,1763,29,197,1252.791878,11,601.5172414,601.5172414,2,0.745472451,0.457717856,0.395910781,63,47,47,11,2,44,41,93,27,36,17,7,18,7,19,12,8,12,9,3,2,3,6,2,1,3,1,0,4,4,4,0,0,1,0,3
anindyaspaul,1824,40,122,1131.967213,52,929.35,929.35,2,0.883022512,0.081898727,0.542222222,52,24,26,8,0,24,30,69,16,18,10,8,13,6,8,9,7,6,4,2,1,5,3,0,0,0,0,0,2,0,1,0,0,0,0,0
FermatsLittleBrother,1817,18,68,1263.235294,69,2148.777778,2148.777778,2,0.457627119,0.091898357,0.422360248,32,13,15,7,1,39,22,22,24,15,8,6,11,7,3,4,5,6,2,2,3,2,3,3,4,1,2,2,2,0,0,0,0,0,0,0
_Alshe_,1686,69,655,1026.717557,1280,5478.86,5769.04,1,6.428155528,0.881163619,0.481535119,480,123,42,5,0,229,278,289,100,127,51,20,98,34,62,62,7,10,28,2,9,9,4,0,16,0,0,2,17,8,1,0,2,0,1,4
Naim_Elias,1685,10,46,1200,726,1204.8,1204.8,1,0.182378135,0.040638776,0.55952381,23,14,8,1,0,21,11,23,6,7,4,4,7,2,8,3,4,2,1,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
AK.,2094,335,3333,1454.965497,36,276.26,1621.62,3,5.549579813,2.801465185,0.561880772,968,561,793,540,362,1189,1038,993,611,564,675,525,445,346,274,295,309,318,199,205,133,160,95,112,56,47,54,34,55,15,31,21,20,15,4,55
Tasdid,1913,55,359,1403.064067,161,1329.48,1688.64,2,1.001859512,0.280039667,0.467254408,119,68,95,40,20,151,140,112,72,64,46,49,48,40,28,28,17,22,21,10,20,15,5,7,8,2,3,7,13,3,2,5,1,1,0,7
__FaRiA_eFa__,1725,185,1226,1256.280587,60,1225.04,2472.36,2,4.194956289,1.870273799,0.419974392,550,237,286,69,9,491,454,370,284,228,174,130,162,109,109,115,51,60,71,37,52,32,15,19,28,17,7,16,27,5,3,7,5,5,1,19
im13,1681,11,62,1582.258065,198,814.1818182,814.1818182,1,2.53764819,0.212034799,0.255905512,17,9,18,12,5,9,18,23,14,6,14,11,6,2,4,2,4,3,2,5,1,6,1,3,1,0,0,0,3,0,1,0,1,1,0,0
memento,2110,47,238,1739.915966,9,1065.106383,1065.106383,3,2.465079856,0.867903129,0.511022044,53,35,67,43,36,90,86,63,57,31,51,37,41,23,24,21,29,30,13,23,16,10,6,10,4,4,7,3,6,1,2,2,5,0,0,1
mustafij,1791,60,199,1331.658291,44,228.76,365.74,2,0.56535746,0.159554721,0.391732283,72,47,64,16,0,53,59,86,22,52,23,11,24,19,22,9,10,10,4,4,2,7,6,4,5,3,1,0,6,4,6,0,0,2,1,5
fakhrulsojib,1955,179,1341,1268.680089,191,1039.24,1739.86,2,3.503316299,1.711239307,0.485242446,574,261,290,134,24,577,527,413,319,253,196,138,180,116,126,121,77,81,82,42,64,55,22,30,32,16,9,16,27,6,11,6,9,7,1,20
God_of_thunder5,1675,13,68,1241.176471,68,1365.923077,1365.923077,1,6.087804878,0.258734615,0.469798658,22,12,21,3,2,13,12,26,6,6,10,3,9,4,6,2,5,7,1,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
Richita,1674,79,415,1319.036145,103,1544.28,2281.94,2,1.039540175,0.453416112,0.41023166,161,109,109,26,7,143,157,163,55,58,40,31,42,21,32,35,25,23,16,15,11,22,5,7,4,3,1,0,10,6,3,0,3,1,0,7
Parvej,1841,200,1431,1386.02376,65,1019.36,1963.54,2,3.506721216,1.572053524,0.501829066,568,300,373,133,35,581,539,454,311,309,255,180,212,167,146,132,98,90,101,70,74,75,27,33,29,26,25,24,30,5,7,7,8,7,0,28
robin_aust,1671,95,904,1363.163717,139,1396.28,1738.18,1,2.24081071,1.131393639,0.500266383,341,223,233,76,22,257,242,410,98,145,105,111,119,69,85,56,57,59,35,36,15,18,14,29,10,6,9,2,3,2,1,1,1,3,3,3
ShahadatNext,1671,18,73,1353.424658,452,1958.388889,1958.388889,2,1.30480745,0.263286444,0.510067114,26,17,24,5,0,31,25,23,8,11,7,8,7,5,8,1,6,4,5,1,2,1,3,1,0,0,2,1,1,0,0,0,0,0,1,0
ershad,1670,20,75,1418.666667,78,302.8,302.8,2,0.732575886,0.202836245,0.467836257,28,21,17,6,3,11,22,36,6,16,6,1,10,3,7,2,4,6,0,1,0,2,2,1,2,2,0,0,2,0,1,0,0,0,3,2
SI_AM,1684,124,885,1271.073446,130,1259.26,2082.18,1,2.964274647,1.088868834,0.419220056,379,235,193,57,13,287,288,383,138,154,88,43,106,63,87,70,53,61,34,23,24,17,18,20,20,7,6,3,18,4,2,6,4,1,2,11
the_badcoder,1767,94,906,1389.072848,128,1021.62,1220.46,2,2.834526951,0.554680544,0.59558011,422,251,200,15,3,217,235,496,114,177,64,47,122,63,71,76,58,57,38,27,11,21,7,21,15,3,0,1,13,7,2,2,3,0,3,7
diptadas,1707,86,305,1333.114754,92,567.92,944.26,2,1.658382639,0.214434862,0.529313233,114,96,76,14,2,78,93,182,41,65,21,17,40,15,33,17,10,14,12,3,5,15,4,9,1,8,1,0,10,0,5,0,0,2,2,3
emrulhasan,1666,147,2011,1269.567379,244,1951.46,3509.6,1,3.399608133,2.830042558,0.43128337,1061,481,375,61,13,787,777,775,378,397,249,167,272,155,236,191,81,67,110,41,92,67,18,37,40,21,10,11,32,5,8,9,6,7,3,19
rifat_072,1741,78,579,1217.271157,131,1082.1,1308.08,2,1.953232781,0.610331028,0.452272727,258,133,102,33,20,130,160,279,62,100,57,58,68,38,48,50,35,31,14,24,11,10,10,14,7,3,8,0,16,4,1,1,1,2,1,4
Abinash,1663,73,397,1646.599496,225,874.36,1179.72,2,2.372305054,0.415602902,0.510659898,125,94,123,23,4,92,94,196,44,73,36,30,45,25,31,22,23,20,14,11,8,17,5,9,3,7,1,0,18,0,2,0,0,4,1,4
ReCRuS,1719,100,576,1178.645833,444,1667.64,2481.54,1,2.830142326,0.88682688,0.419700214,303,106,135,20,1,288,238,175,160,116,74,64,81,53,61,59,25,30,35,18,25,24,6,12,11,12,3,6,15,3,6,3,2,2,0,8
FakeRolex,1826,74,257,1293.385214,69,1261.72,2056.02,2,1.973442969,0.318232894,0.648648649,116,62,64,13,2,119,107,75,60,51,34,18,31,21,30,29,6,14,18,6,13,14,3,3,1,3,0,4,7,0,2,2,5,2,0,4
Dhruba10414,1888,90,797,1298.996236,197,1251.44,1741.88,2,2.559191169,0.560764783,0.566166439,300,176,182,73,23,236,226,319,118,136,111,78,86,58,65,58,52,53,39,35,23,27,17,14,14,9,12,0,12,7,6,1,0,4,1,6
_Lucifer,1686,79,737,1261.19403,96,1128.86,1487.8,2,1.968569113,0.598423675,0.518257527,347,196,134,15,9,147,173,418,70,127,50,38,78,41,83,36,39,39,25,15,14,16,13,9,10,6,0,0,9,4,4,1,0,2,4,4
mahadi97,1787,168,1222,1507.364975,99,1061,2547.52,2,4.304319977,1.310402822,0.52235384,449,260,356,125,10,460,382,467,213,215,184,145,193,108,103,101,86,88,70,57,41,39,21,24,19,18,12,13,10,4,1,4,9,5,1,12
prismatic007,1656,11,91,1595.604396,446,2231.909091,2231.909091,1,7.476988435,0.565424489,0.59375,26,13,24,21,7,40,35,26,25,25,24,18,12,15,7,14,5,10,7,3,9,8,1,2,1,1,0,0,2,0,0,2,1,0,0,2
metal_knight,1861,128,779,1578.947368,4,258.12,837,2,1.545921812,0.429455068,0.469450102,221,142,201,91,40,175,194,310,96,128,127,77,87,69,61,53,60,57,38,28,28,45,21,17,11,13,6,1,23,8,4,3,3,4,1,18
_Comfortably_Numb__,1701,113,665,1528.421053,162,922.34,1553.18,2,2.556882464,1.14849525,0.472584856,231,133,205,73,23,163,185,284,97,129,103,78,56,50,58,49,59,60,32,35,17,33,14,15,9,7,7,3,18,2,8,1,2,2,1,10
awal_ahmed,1676,124,543,1069.244936,247,1325.4,3082.86,2,3.473456922,0.41947919,0.488789238,360,118,60,3,0,180,215,270,74,90,38,12,66,24,62,26,9,9,18,2,8,8,1,5,11,0,1,0,9,2,1,1,1,0,0,3
dot_0,1743,97,460,1346.73913,23,823.02,1284.66,2,1.974312826,0.861354464,0.364375462,171,104,133,24,4,90,143,208,63,91,38,25,38,33,49,34,27,20,9,12,6,15,4,9,8,3,1,2,27,2,2,1,1,1,1,1
NadmanKhan,1651,96,449,1367.483296,412,2461.14,3580.36,1,2.521891419,0.723120902,0.436213992,249,105,69,14,1,185,192,137,98,85,49,42,61,47,38,43,23,17,21,11,26,11,7,7,4,5,3,3,12,2,2,4,0,4,0,7
_Dormammu_,1789,152,596,1226.845638,213,1182.9,2121.62,2,2.95675902,0.689300057,0.567867036,296,147,116,23,6,260,240,202,129,97,59,68,83,64,61,56,32,23,37,15,16,21,5,8,8,3,4,11,10,0,6,2,3,5,0,4
border,1956,270,2015,1386.600496,62,490.64,2054.44,3,3.114561054,1.73533749,0.398558969,710,373,520,261,71,723,646,715,377,366,333,250,278,193,188,155,156,169,119,97,89,90,47,52,36,29,21,15,42,12,9,13,12,10,1,33
Zangetsu101,1646,26,492,1555.487805,273,2238,2238,2,1.707250342,0.59770468,0.455631399,166,67,146,82,22,90,104,211,48,76,161,64,56,43,53,32,40,25,26,31,20,21,4,13,9,9,9,2,7,5,7,0,1,2,3,13
BumbleBee,1726,178,699,1628.469242,240,1069.74,3445.2,2,3.747450602,0.797954605,0.379990821,281,176,156,43,30,228,221,282,97,135,96,69,76,49,63,48,38,32,36,20,23,13,11,16,16,7,4,4,15,18,1,2,1,5,2,4
Nobel_ruettt,1645,15,1131,1411.58267,197,1648.866667,1648.866667,1,0.88405026,1.499244917,0.564508617,243,190,349,150,50,266,257,368,121,172,232,184,107,128,91,97,111,90,59,101,54,43,21,44,17,14,28,4,14,8,9,5,2,7,4,14
ASM_ATIKUR,1688,115,1666,1126.770708,560,1837.46,2781.92,1,2.131082142,1.219203711,0.638313081,1131,279,188,26,1,641,654,684,336,316,137,94,216,99,170,150,43,47,81,12,52,44,11,21,46,9,1,1,37,13,5,3,6,1,2,10
Tanmoy1228,1645,91,406,1407.389163,202,906.94,1420.48,2,2.276805106,0.416153818,0.41722488,157,106,113,24,5,91,120,221,67,78,45,50,43,42,47,28,27,23,19,10,6,16,3,14,5,9,2,0,8,2,10,1,0,7,1,6
vector94,1644,56,391,1224.808184,301,2309.14,2698.8,2,4.955752212,0.503378329,0.515923567,163,107,94,12,0,150,144,148,56,67,43,28,45,31,33,32,26,19,16,8,8,6,9,9,4,4,0,1,9,3,1,1,2,1,0,3
Kamrozzaman,1644,80,677,1082.274742,126,3280.24,4511.62,1,2.205319312,0.67264192,0.521969697,439,164,71,3,0,243,269,313,94,124,48,37,97,50,76,60,10,11,30,5,12,8,5,5,8,4,2,1,7,2,0,2,4,0,1,4
stranger006,1644,23,103,1242.718447,284,4711.086957,4711.086957,1,1.342521281,0.192011501,0.411764706,47,27,21,7,0,41,39,43,23,18,16,9,19,11,7,5,7,3,6,3,4,1,2,3,0,2,0,0,2,0,0,0,2,1,0,1
Shammo,1745,236,1727,1311.233353,114,1005.38,2607.9,2,3.794148678,1.540524311,0.533054143,617,333,500,163,28,660,626,543,338,312,268,196,222,162,152,149,113,120,102,77,75,77,36,34,24,23,15,19,35,12,16,4,10,7,4,20
NM_Mehedy,1649,225,1615,1267.678019,123,1519.88,2700.48,1,3.727201091,2.155780641,0.418137255,666,429,358,79,14,666,645,497,375,317,212,169,233,149,142,159,79,69,103,52,84,59,23,27,35,24,10,28,26,11,10,9,9,4,0,28
udashi,1677,113,418,1310.526316,277,1157.82,2356.9,2,1.974441786,0.409004658,0.413498099,181,97,106,20,9,111,144,182,78,92,45,39,46,37,44,27,20,19,17,15,18,9,4,9,4,4,2,4,12,3,0,0,3,2,0,3
Taran106,1736,173,873,1320.045819,94,723.8,1599.64,2,3.557552707,0.79239646,0.566871166,340,215,226,55,6,248,241,377,114,156,103,59,103,53,85,58,50,64,36,28,22,30,14,18,16,5,8,4,15,4,4,1,2,0,0,6
prodipdatta7,1784,280,3259,1414.667076,58,559.74,2532.96,2,3.300683959,3.030243818,0.394411888,1181,673,707,226,115,867,870,1215,414,498,351,359,363,232,271,223,227,226,137,160,100,87,49,80,40,37,31,16,62,77,8,6,7,13,8,32
_Nyu_,1717,144,887,1240.248027,115,760.1,1557.78,2,4.477586157,1.806688735,0.37562396,366,179,174,61,44,208,240,407,84,136,97,72,88,49,84,63,52,48,23,36,20,28,14,13,8,14,4,1,20,5,3,1,2,7,0,5
ArifurLimon,1685,95,1461,1556.33128,380,1849.46,2661.2,2,2.887537994,2.201701546,0.438155715,401,267,545,199,32,576,477,429,259,268,293,228,204,174,146,126,116,114,122,75,73,58,35,36,23,21,24,11,21,2,5,5,8,8,4,18
labib,1640,166,942,1100.106157,766,1633.98,3161.92,2,3.411153605,0.745803219,0.419229104,511,234,138,13,1,262,310,456,121,171,70,40,91,41,97,78,36,32,29,14,15,23,7,17,11,6,1,2,13,9,1,0,4,2,3,7
Creeping_Death_,1640,105,488,1336.680328,206,1928.06,2667.32,2,1.730772533,0.472974575,0.540709812,244,88,108,38,9,259,183,150,138,105,70,67,79,55,56,40,16,20,48,15,31,27,6,7,19,7,4,6,6,5,4,1,1,2,0,4
r4m1m,1640,149,1847,1547.049269,510,2137.74,2981.38,2,3.17246274,4.461520785,0.325607372,830,452,386,71,25,736,688,640,400,368,282,220,261,166,193,159,102,83,123,69,95,77,22,35,38,27,17,9,42,7,5,4,9,6,1,16
jAckAL_1586,2026,119,850,1319.176471,15,300.9,2194.96,3,1.632331648,0.574797547,0.515344528,369,202,184,60,23,230,269,425,115,164,97,61,90,63,75,75,45,35,33,20,16,37,9,13,12,11,4,1,23,6,9,3,4,3,1,12
Md._Abu_Nafee_Ibna_Zahid,1717,55,390,1442.307692,191,1139.26,1223.38,2,1.908012286,0.768233883,0.500591716,104,74,109,57,12,92,101,159,69,73,60,42,38,41,43,25,32,25,12,21,10,12,2,9,7,6,3,3,12,2,1,1,1,3,1,5
weak_coder,1697,35,111,1194.594595,90,2281.314286,2281.314286,2,0.54947451,0.078863124,0.577889447,55,27,25,1,1,41,46,34,33,19,12,7,13,6,15,9,0,3,6,0,3,3,3,1,1,0,0,3,5,0,0,1,0,0,0,0
__RaiyaN__,1638,56,603,1329.353234,947,4312.04,4552.96,1,4.786324786,1.172401497,0.406079027,269,147,125,31,4,265,266,195,150,118,75,50,86,51,61,46,23,26,34,13,18,21,10,6,17,3,5,5,16,3,3,3,4,0,0,5
yafi38,1637,36,308,1408.116883,417,1518.138889,1518.138889,1,1.228843692,0.720184112,0.475388601,166,74,57,8,2,60,76,190,38,73,19,17,33,18,26,19,8,8,9,6,6,6,1,3,4,1,2,0,9,2,1,1,2,0,0,3
gHo0sT,1696,151,1001,1105.394605,95,1456.96,2982.08,2,4.077407741,1.74570871,0.52753474,433,294,169,14,3,352,345,398,191,157,105,79,118,66,92,65,18,25,51,15,23,32,8,6,10,8,1,6,12,1,2,3,5,1,1,7
NoooRa__,1633,63,398,1135.678392,1237,3263.38,4183.46,1,2.380508797,0.501178638,0.387546468,235,97,50,7,1,125,160,173,59,66,22,16,48,21,38,54,9,12,13,5,9,7,4,5,8,1,3,6,7,6,1,0,2,0,0,4
Baridcse,1678,95,155,1069.677419,141,769.32,1058.66,2,2.600208448,0.471672626,0.303675048,93,44,13,0,0,29,35,110,17,30,10,3,18,5,9,9,3,3,7,0,2,4,0,3,0,1,0,0,1,2,1,0,0,0,0,3
D_D_D,1632,86,571,1214.711033,229,1270.06,1819.02,2,3.839801561,0.408370107,0.535125759,320,158,81,5,0,156,143,317,59,89,43,23,82,25,63,29,27,24,17,12,6,8,6,10,5,5,0,0,7,4,1,1,1,0,2,2
Diganta,1632,232,1888,1239.618644,468,1924.42,3016.38,2,4.695333197,2.673025061,0.389498433,920,424,363,99,19,736,663,643,345,342,249,221,279,175,181,174,111,96,116,71,104,70,28,38,34,20,18,12,35,5,5,7,8,5,2,15
math10,1929,76,598,922.0735786,60,426.28,607.62,2,1.585485697,0.493438743,0.319812793,110,89,128,46,10,96,103,187,53,77,61,35,49,31,28,27,33,28,17,11,8,24,8,13,4,7,3,1,13,8,3,1,4,2,0,6
blitzkrieg08,1631,23,287,968.989547,140,7650.826087,7650.826087,1,3.269980747,0.531415297,0.731343284,242,30,12,3,0,87,104,150,41,47,17,16,30,16,35,22,4,2,6,3,4,2,2,0,7,2,1,0,3,3,2,0,0,0,1,3
el.duivel,1974,171,1317,1160.136674,83,724.82,1965.5,3,3.967293672,1.620787022,0.608928571,514,270,267,81,25,476,450,438,226,208,142,105,153,107,122,95,43,44,66,18,37,43,16,12,23,13,7,5,22,5,6,6,7,4,2,13
yarrow,1644,15,76,1347.368421,85,447,447,1,0.212665057,0.048939286,0.389162562,30,22,18,6,0,15,25,45,7,20,9,2,9,4,12,4,4,4,1,2,2,3,1,1,2,1,1,0,1,0,2,0,0,0,0,0
shohaghsust,1629,79,753,1266.533865,72,963.7,1321.36,2,2.396259005,0.658232881,0.40170085,328,191,151,34,7,182,196,448,88,144,76,38,69,43,60,49,31,23,25,7,14,27,11,11,9,5,1,1,13,7,5,0,1,1,1,9
MRITuhin,1823,136,468,1176.709402,271,783.26,1111.86,2,3.138285513,0.38910611,0.486404834,265,118,78,5,1,101,129,276,52,89,31,21,49,24,44,31,17,16,12,13,2,8,2,3,9,0,2,1,8,4,0,0,1,0,1,0
BlueDreamer,1628,30,204,1128.921569,153,5289.566667,5289.566667,1,1.401891905,0.492166555,0.606837607,123,41,31,4,0,71,91,79,42,35,15,12,22,12,18,10,5,6,3,1,2,4,2,4,2,0,0,0,6,0,0,1,0,0,1,4
RaFiN_,1627,42,1555,1652.861736,370,2608.071429,2608.071429,1,0.863652483,2.523480463,0.376407129,290,246,444,404,156,446,411,554,411,257,305,216,178,172,141,113,168,171,78,103,65,85,46,50,32,25,28,17,30,21,12,12,13,11,5,32
Superstorm4242,1727,134,691,1295.36903,102,754,1071.58,2,2.639382831,0.502561891,0.3924972,267,145,214,48,2,142,201,317,98,133,100,45,71,56,66,48,45,35,27,24,14,26,11,7,7,6,5,2,21,1,5,1,1,2,2,4
Farabi,1626,86,1360,1325.955882,551,2620.62,3442.1,1,3.680894067,1.879115635,0.389750329,618,363,327,42,0,469,489,572,215,221,145,86,184,100,130,112,78,75,62,34,30,35,18,27,21,13,3,3,24,7,3,1,5,3,1,11
jahid_hasan172,1684,39,1046,1832.409178,189,3058.307692,3058.307692,1,2.241066262,2.310180476,0.46333208,174,214,459,143,54,543,312,297,281,160,194,177,173,109,99,83,82,77,76,59,48,24,16,25,11,27,15,2,14,4,2,4,6,17,1,8
kimbbakar,1902,174,1134,1358.201058,28,370.46,971.34,2,2.603342494,0.953025575,0.364494519,357,254,339,96,20,270,272,530,136,217,167,113,126,85,106,75,79,67,40,38,28,45,19,20,14,12,6,2,23,1,7,3,2,3,2,19
magpie,1624,39,101,1373.267327,331,1038.512821,1038.512821,2,1.893203883,0.580208385,0.281329923,44,27,24,5,0,22,23,64,13,25,10,6,6,2,6,5,2,2,2,0,1,3,1,1,1,1,0,0,0,2,0,0,0,0,0,1
wazedrifat,1623,49,240,1076.25,474,2508.877551,2508.877551,1,1.186457303,0.573887572,0.323037323,154,53,21,2,1,50,66,144,25,47,20,9,24,10,37,9,3,1,7,0,1,6,1,0,3,1,1,1,4,3,1,0,0,1,1,3
torpedo,1895,100,844,1204.976303,22,634.7,1187.96,2,2.347411463,2.018788243,0.332949309,391,206,170,31,7,193,201,474,104,150,75,50,98,42,79,45,45,40,29,23,9,22,12,17,9,6,1,2,22,6,4,0,2,2,2,7
Shofiqur,1672,173,1991,1407.985937,293,1730.98,2869.6,2,3.537832311,2.456005001,0.497659176,816,392,442,303,5,881,816,632,489,427,317,267,295,227,182,200,126,133,144,80,96,93,34,49,58,26,25,29,54,14,9,8,13,7,3,23
arbitrary_A,1755,97,1742,1672.789897,141,952.6,1634.16,2,1.729183689,1.484984828,0.437806509,470,286,640,231,95,507,440,697,281,303,291,244,209,168,154,134,180,171,98,118,61,65,45,74,23,32,26,11,28,19,8,7,7,17,6,23
_Alamin_Bhuiyan_,1621,237,1706,1184.701055,616,1951,3651.16,1,4.746361443,2.184280972,0.424594529,818,385,390,45,5,727,656,566,389,339,221,160,224,154,176,154,64,69,97,41,81,64,25,25,38,19,7,17,34,6,8,7,5,3,2,18
rifatrraazz,1661,132,1543,1359.494491,116,1780.96,2854.1,1,2.607234545,1.80352772,0.525787966,674,339,350,43,5,559,547,523,295,302,196,125,197,142,134,131,66,64,82,34,66,50,21,15,28,17,9,19,36,46,8,9,10,4,4,19
Hasnaine_,2031,120,1975,1501.367089,32,680.76,1761.42,3,1.964064143,2.132633008,0.49932675,633,318,437,235,175,653,599,671,341,334,338,256,249,188,148,154,142,146,114,90,87,87,42,51,38,27,35,29,51,8,23,12,15,5,1,37
underSpirit,1978,139,630,1430.793651,13,303.42,1219.44,3,2.94415721,0.596770292,0.364138624,178,125,157,59,27,125,169,262,85,100,70,62,57,56,51,51,25,24,18,16,7,28,7,14,6,8,2,2,17,3,10,0,2,4,1,4
Moshiur_,1864,184,682,1230.351906,69,585.74,1987.4,3,3.531913097,0.612277815,0.445790816,311,174,147,29,5,205,221,350,115,139,52,46,76,43,74,52,30,40,23,21,14,16,12,11,12,5,2,3,17,1,1,0,5,1,1,4
sonjoydabnath,1719,112,604,1835.430464,86,639.82,1164.98,2,1.948999096,0.389513548,0.49106552,152,120,217,76,30,139,172,282,87,122,95,68,60,50,54,55,39,35,25,15,16,38,15,11,8,12,1,0,29,0,12,0,0,5,4,9
Asif732,1614,154,1404,1307.122507,273,1871.98,3288.44,2,3.678771089,1.401125164,0.6154465,772,290,268,68,5,538,533,506,302,262,183,137,204,123,152,129,67,63,79,44,64,45,22,21,36,20,13,16,25,4,9,5,6,3,2,10
shoumo,1619,21,701,970.042796,623,2225.095238,2225.095238,1,0.447141048,0.532460037,0.81575898,562,97,26,1,0,136,204,455,76,119,23,6,80,10,74,30,4,4,10,1,2,13,1,0,6,0,0,0,16,5,1,0,0,0,1,2
