User ID,Best Rating,Contests Participated,Problems Solved,Average Problem Rating,Best Rank,Average Rank best 50,Average Rank ,Current Job Status,Engagement (Contests per Month),Average Submissions per Day,Acceptance Ratio,solved_800_1100,solved_1200_1400,solved_1500_1800,solved_1900_2100,solved_2100_plus,greedy,math,implementation,constructive algorithms,brute force,dp,data structures,sortings,binary search,strings,number theory,dfs and similar,graphs,two pointers,trees,bitmasks,combinatorics,shortest paths,dsu,games,hashing,divide and conquer,interactive,geometry,*special,probabilities,flows,ternary search,string suffix structures,expression parsing,Other
Riad.IIT7,1759,152,1269,1198.660362,139,1059.88,2732.76,2,2.585064544,1.214615395,0.527799841,632,309,237,41,8,439,464,544,205,226,146,91,150,89,113,99,38,51,53,19,38,33,15,15,17,10,4,9,19,12,5,6,4,4,0,19
__SkB__,1558,65,1122,1219.16221,800,3529.5,3936.32,1,1.509210862,1.588513665,0.423716291,539,266,308,5,1,455,388,459,228,211,141,130,163,108,130,87,52,52,78,20,47,33,15,27,22,10,6,10,16,2,3,3,4,3,2,10
TheIridescentOne,1665,203,2004,1227.54491,197,1428.96,3314.52,2,3.446539842,2.473412286,0.411190234,834,485,650,4,0,804,757,751,396,411,262,197,308,208,200,181,103,100,129,50,70,60,27,43,46,22,10,15,43,14,8,6,8,4,4,17
E_H_P,1694,142,1095,1104.474886,324,1917.72,2837.48,2,4.310741014,2.016419542,0.570714643,692,227,133,17,3,494,440,383,233,214,103,109,176,111,112,95,36,31,68,26,41,32,13,12,39,8,4,8,23,2,3,2,3,1,1,11
Shamim97,1676,210,2410,1285.518672,526,2424.14,4335.06,2,5.431132025,4.750012442,0.442355445,1084,536,562,153,37,1036,933,796,561,479,258,264,369,244,250,264,107,108,151,60,126,70,33,45,72,31,20,39,48,19,8,7,15,10,4,32
Jahidem,1558,124,893,1153.527436,588,2485.92,4162.48,2,2.232893157,1.380527581,0.383544304,466,219,177,13,1,371,326,344,198,194,113,84,138,78,76,65,30,31,50,13,24,29,7,15,18,4,3,7,25,10,2,4,2,1,3,6
nirjhorJU,1735,310,3144,1363.517812,167,803.86,2677.48,2,4.010331275,2.661269125,0.532422672,1333,647,785,257,34,1196,1127,1086,670,627,405,357,424,329,315,287,162,144,179,116,146,92,33,64,52,43,24,41,49,23,12,10,13,14,6,35
SAYEM_19,1547,174,2297,1459.773618,1451,2771.84,4254.74,1,5.184250274,5.689444564,0.476901702,1050,693,531,6,1,1015,901,827,525,495,293,233,362,226,249,224,91,90,152,55,110,88,25,41,64,27,14,27,43,8,6,6,10,7,3,23
bushraakter,1577,161,1038,1074.566474,831,2323.12,3651.54,1,2.665470976,1.086210883,0.526289181,657,253,112,9,0,433,411,431,234,189,108,71,142,64,105,73,17,18,44,12,35,25,10,8,28,6,1,6,23,8,4,4,1,2,2,12
Salman__Ahmed,1270,161,1114,1052.692998,2211,4806.76,7335.62,1,4.948717675,2.173386034,0.530574713,729,279,75,2,0,441,414,445,207,207,85,93,186,98,117,97,32,24,56,16,31,23,10,11,28,7,2,2,16,7,1,1,0,0,3,5
SAIF_IIT-JU,1673,218,1716,1342.832168,231,1126.48,3682.14,2,2.615981833,1.608266626,0.460278054,713,405,417,114,24,626,606,649,290,316,244,165,205,149,157,150,102,103,93,73,66,77,24,43,24,24,16,18,32,19,6,8,8,8,2,14
Yamin_,1626,157,1311,1130.20595,893,2718.72,4751.64,1,6.767140099,3.636406854,0.474522293,734,318,220,10,1,588,541,459,289,280,156,133,201,141,135,132,52,51,85,22,62,40,18,20,43,8,9,11,29,13,3,4,6,1,2,15
Rivaakter,1204,150,1153,1023.937554,2473,5747.56,8161.5,1,2.789814594,1.65680498,0.425258651,842,256,47,1,0,479,473,468,221,201,78,64,190,58,131,102,11,6,45,2,18,23,3,2,19,4,0,1,13,8,3,0,2,1,1,5
Promi..,1368,168,1525,1056.852459,2057,4863.8,7804.02,1,2.829738455,2.036210731,0.405920206,1037,340,119,8,0,625,616,611,333,271,126,97,216,83,163,112,28,27,69,12,51,37,6,14,36,6,2,4,25,10,6,3,2,1,3,14
